brd_label_brand,category_label,dsm_code,product_nature_label,product_code,model_r3,start_at,end_at,life_time,start_year_at
NABAIJI,CLOTHING,3832,2 PIECES SWIMSUIT,104488,8360657,2016-02-14,2017-05-28,469,2017
KALENJI,CLOTHING,145964,T-SHIRT,117184,8488275,2017-12-17,2020-06-28,924,2020
OLAIAN,CLOTHING,174775,BOARDSHORTS,127059,8518327,2019-02-10,2020-06-07,483,2020
ARTENGO,CLOTHING,X8277562,SKIRT,104131,8277562,2013-08-18,2015-03-15,574,2015
KIPSTA,CLOTHING,14559,UNDERSHORTS,109650,8311303,2014-10-05,2020-07-19,2114,2020
ARTENGO,CLOTHING,X8163940,SKIRT,72228,8163940,2012-01-08,2014-08-10,945,2014
WEDZE,CLOTHING,X8283673,TROUSERS,10000006,8283673,2013-10-06,2014-12-14,434,2014
KALENJI,FOOTWEAR,100143,SHOES,108569,8327207,2014-12-28,2016-07-03,553,2016
DOMYOS,CLOTHING,X8183357,T-SHIRT,100232,8183357,2012-01-01,2013-08-11,588,2013
QUECHUA,FOOTWEAR,5453,SHOES,86917,8317559,2014-10-19,2016-01-03,441,2016
QUECHUA,CLOTHING,15504,JACKET,102594,8272432,2013-03-31,2016-04-24,1120,2016
BTWIN,CLOTHING,478,T-SHIRT,104241,8296125,2014-02-09,2015-04-26,441,2015
KIPSTA,CLOTHING,X8299911,SHORTS,105667,8299911,2014-03-02,2014-10-12,224,2014
QUECHUA,CLOTHING,121960,SHORTS,112825,8526287,2019-02-24,2020-06-28,490,2020
OLAIAN,FOOTWEAR,149332,FLIP-FLOPS,120237,8486172,2018-03-11,2020-07-12,854,2020
QUECHUA,CLOTHING,147816,FLEECE,117654,8500574,2018-08-05,2019-11-10,462,2019
TRIBORD,CLOTHING,X8333734,SWIMMING TRUNKS,109416,8333734,2015-03-08,2017-06-25,840,2017
KALENJI,CLOTHING,164631,SWEATSHIRT,123387,8394793,2017-08-20,2018-07-01,315,2018
QUECHUA,CLOTHING,X8172091,TROUSERS,100121,8172091,2012-07-15,2013-01-06,175,2013
DOMYOS,FOOTWEAR,3900,SHOES,86516,8287497,2013-09-08,2015-10-04,756,2015
DOMYOS,CLOTHING,X8184854,TANK,100242,8184854,2012-01-01,2012-11-04,308,2012
FOUGANZA,CLOTHING,X8126161,TROUSERS,56698,8126161,2012-01-08,2013-01-06,364,2013
NABAIJI,CLOTHING,124485,SWIMMING COSTUME,113437,8361246,2016-03-06,2017-06-11,462,2017
ARTENGO,FOOTWEAR,141545,SHOES,114689,8340451,2015-06-28,2017-05-21,693,2017
WEDZE,CLOTHING,6970,SUIT,104478,8282928,2013-09-22,2018-01-07,1568,2018
KALENJI,CLOTHING,X8280384,JACKET,104050,8280384,2013-09-01,2014-05-18,259,2014
OXELO,CLOTHING,6063,LONG-SLEEVED T-SHIRT,105487,8293555,2013-09-22,2015-06-14,630,2015
ARTENGO,CLOTHING,2392,SOCKS,107276,8379861,2017-02-19,2019-04-21,791,2019
TARMAK,CLOTHING,5603,T-SHIRT,105793,8379209,2017-01-08,2018-05-27,504,2018
ARTENGO,CLOTHING,10412,LONG-SLEEVED T-SHIRT,107246,8366206,2016-08-28,2018-09-30,763,2018
TRIBORD,CLOTHING,X8203833,2 PIECES SWIMSUIT,67291,8203833,2012-02-26,2013-08-04,525,2013
OXELO,FOOTWEAR,304892,SHOES,304892,8543206,2019-03-03,2021-12-19,1022,2021
QUECHUA,FOOTWEAR,124445,SHOES,113429,8355597,2016-02-21,2017-09-24,581,2017
KIPSTA,CLOTHING,108305,SHORT-SLEEVE JERSEY,109256,8357684,2015-11-22,2016-12-18,392,2016
DOMYOS,CLOTHING,112352,TROUSERS,110099,8341770,2015-08-02,2016-06-12,315,2016
